Арианне Хартоно=Хартоно А.,Хартоно Арианне
Ирина Фетекау=Фетекау И.,Фетекау Ирина
Мисаки Мацуда=Мацуда М.,Мацуда Мисаки
Риса Усидзима=Усидзима Р.,Усидзима Риса
Обан Дроге=Дроге О.,Дроге Обан
Надия Подороска=Подороска Н.,Подороска Надия
Паула Каня=Каня П.,Каня Паула
Есинь Ма=Ма Е.,Ма Есинь
Тереза Михаликова=Михаликова Т.,Михаликова Тереза
Маргарита Лазарева=Лазарева М.,Лазарева Маргарита
Дарья Касаткина=Касаткина Д.,Касаткина Дарья
Айша Мухаммад=Мухаммад А.,Мухаммад Айша
Эмилиана Аранго=Аранго Э.,Аранго Эмилиана
Саназ Маранд=Маранд С.,Маранд Саназ
Кэролайн Доулхайд=Доулхайд К.,Доулхайд Кэролайн
Даша Иванова=Иванова Д.,Иванова Даша
Катарина Кужмова=Кужмова К.,Кужмова Катарина
Алина Силич=Силич А.,Силич Алина
Ольга Хелми=Хелми О.,Хелми Ольга
Арабелла Коллер=Коллер А.,Коллер Арабелла
Киока Окамура=Окамура К.,Окамура Киока
Радка Зельницкова=Зельницкова Р.,Зельницкова Радка
Эбби Майерс=Майерс Э.,Майерс Эбби
Виктория Азаренко=Азаренко В.,Азаренко Виктория
Анастасия Куликова=Куликова А.,Куликова Анастасия
Майя Лумсден=Лумсден М.,Лумсден Майя
Кэти Макнелли=Макнелли К.,Макнелли Кэти
Наталья Вихлянцева=Вихлянцева Н.,Вихлянцева Наталья
Селия Сервино Руис=Сервино Руис С.,Сервино Руис Селия
Тамара Зиданшек=Зиданшек Т.,Зиданшек Тамара
Барбара Гатика=Гатика Б.,Гатика Барбара
Марина Заневская=Заневская М.,Заневская Марина
Изабелла Шиникова=Шиникова И.,Шиникова Изабелла
Николь Меликар=Меликар Н.,Меликар Николь
Эстрелья Кабеса-Кандела=Кабеса-Кандела Э.,Кабеса-Кандела Эстрелья
Мариам Болквадзе=Болквадзе М.,Болквадзе Мариам
Чан Лю=Лю Ч.,Лю Чан
Зил Десаи=Десаи З.,Десаи Зил
Кайя Канепи=Канепи К.,Канепи Кайя
Маркета Вондроушова=Вондроушова М.,Вондроушова Маркета
Илона Кремень=Кремень И.,Кремень Илона
Шуюэ Ма=Ма Ш.,Ма Шуюэ
Чжэн Сайсай=Сайсай Ч.,Сайсай Чжэн
Элени Кордолаими=Кордолаими Э.,Кордолаими Элени
Никола Бартункова=Бартункова Н.,Бартункова Никола
Совджанья Бависетти=Бависетти С.,Бависетти Совджанья
Кори Гауфф=Гауфф К.,Гауфф Кори
Виктория Дювал=Дювал В.,Дювал Виктория
Джулия Гатто-Монтиконе=Гатто-Монтиконе Д.,Гатто-Монтиконе Джулия
Сюзан Бандеччи=Бандеччи С.,Бандеччи Сюзан
Ева Лис=Лис Е.,Лис Ева
Сюй Шилинь=Шилинь С.,Шилинь Сюй
Джорджия Маркетти=Маркетти Д.,Маркетти Джорджия
Шарлотт Кемпенаерс-Поч=Кемпенаерс-Поч Ш.,Кемпенаерс-Поч Шарлотт
Луиза Стефани=Стефани Л.,Стефани Луиза
Онс Жабер=Жабер О.,Жабер Онс
Фанни Штолляр=Штолляр Ф.,Штолляр Фанни
Фернанда Контрерас Гомес=Контрерас Гомес Ф.,Контрерас Гомес Фернанда
Каролина Алвес=Алвес К.,Алвес Каролина
Катажина Кава=Кава К.,Кава Катажина
Джулия Морле=Морле Д.,Морле Джулия
Элисон Ван Эйтванк=Ван Эйтванк Э.,Ван Эйтванк Элисон
Конни Перрин=Перрин К.,Перрин Конни
Чжан Юйсюань=Юйсюань Ч.,Юйсюань Чжан
Клэр Лю=Лю К.,Лю Клэр
Валерия Страхова=Страхова В.,Страхова Валерия
Даниэла Сегель=Сегель Д.,Сегель Даниэла
Даниэла Висмане=Висмане Д.,Висмане Даниэла
Полона Херцог=Херцог П.,Херцог Полона
Акгуль Аманмурадова=Аманмурадова А.,Аманмурадова Акгуль
Марина Бассольс Рибера=Бассольс Рибера М.,Бассольс Рибера Марина
Джессика Плазас=Плазас Д.,Плазас Джессика
Пиангтарн Плипыч=Плипыч П.,Плипыч Пиангтарн
Мелани Стокке=Стокке М.,Стокке Мелани
Дженнифер Эли=Эли Д.,Эли Дженнифер
Юрико Миядзаки=Миядзаки Ю.,Миядзаки Юрико
Сесил Каратанчева=Каратанчева С.,Каратанчева Сесил
Елена Остапенко=Остапенко Е.,Остапенко Елена
Виктория Голубич=Голубич В.,Голубич Виктория
Джаклин Како=Како Д.,Како Джаклин
Аранча Рус=Рус А.,Рус Аранча
Хуа-Чень Ли=Ли Х.,Ли Хуа-Чень
Лара Арруабаррена=Арруабаррена Л.,Арруабаррена Лара
Мартина Колменья=Колменья М.,Колменья Мартина
Эмили Эпплтон=Эпплтон Э.,Эпплтон Эмили
Жюли Бельграве=Бельграве Ж.,Бельграве Жюли
Катарина Хобгарски=Хобгарски К.,Хобгарски Катарина
Шанталь Саувант=Саувант Ш.,Саувант Шанталь
Рената Сарасуа=Сарасуа Р.,Сарасуа Рената
Пак Со Юн=Со Юн П.,Со Юн Пак
Софья Шапатава=Шапатава С.,Шапатава Софья
Анхела Фита Болуда=Фита Болуда А.,Фита Болуда Анхела
Тереза Мартинцова=Мартинцова Т.,Мартинцова Тереза
Андреа Ласаро Гарсия=Ласаро Гарсия А.,Ласаро Гарсия Андреа
Улрикке Эйкери=Эйкери У.,Эйкери Улрикке
Магали Кемпен=Кемпен М.,Кемпен Магали
Катерина Козлова=Козлова К.,Козлова Катерина
Диан Парри=Парри Д.,Парри Диан
Моюка Учижима=Учижима М.,Учижима Моюка
Жива Фалкнер=Фалкнер Ж.,Фалкнер Жива
